positive,negative,neutral,other,class,class_name
0.8725848197937012,0.0026093670167028904,0.11253979802131653,0.012266026809811592,1,positive
0.9500536322593689,0.0014457071665674448,0.03934729844331741,0.009153295308351517,1,positive
0.7792595028877258,0.006287069991230965,0.19093067944049835,0.023522814735770226,1,positive
0.7177159786224365,0.01095825806260109,0.19212621450424194,0.07919952273368835,1,positive
0.9209393262863159,0.0018459924031049013,0.0680234432220459,0.009191256016492844,1,positive
0.9342458248138428,0.0018345075659453869,0.05236503481864929,0.011554556898772717,1,positive
0.9519294500350952,0.001335631706751883,0.03662567213177681,0.010109302587807178,1,positive
0.926128625869751,0.0034864337649196386,0.0270305797457695,0.043354425579309464,1,positive
0.05172303691506386,0.2461494505405426,0.05723774433135986,0.6448898315429688,4,other
0.7676498889923096,0.012075146660208702,0.04156234860420227,0.17871251702308655,1,positive
0.812095046043396,0.008372090756893158,0.12617231905460358,0.053360551595687866,1,positive
0.01628778874874115,0.5136953592300415,0.016092710196971893,0.4539242088794708,2,negative
0.8931518197059631,0.00276804412715137,0.09142085164785385,0.012659319676458836,1,positive
0.8983229398727417,0.002088427310809493,0.08879417926073074,0.010794457048177719,1,positive
0.9556865096092224,0.0013480057241395116,0.03493592143058777,0.008029574528336525,1,positive
0.761282742023468,0.01383066363632679,0.04665054380893707,0.17823611199855804,1,positive
0.9650188684463501,0.0012800300028175116,0.025584783405065536,0.008116358891129494,1,positive
0.6629490852355957,0.01651463657617569,0.04085777699947357,0.27967846393585205,1,positive
0.9661518931388855,0.0012614480219781399,0.025239188224077225,0.007347407750785351,1,positive
0.9642900824546814,0.0011685978388413787,0.027077706530690193,0.007463616784662008,1,positive
0.9285584092140198,0.0017889505252242088,0.05868823826313019,0.010964389890432358,1,positive
0.9317866563796997,0.0015760606620460749,0.05671914294362068,0.009918078780174255,1,positive
0.2339591532945633,0.08289768546819687,0.12435545027256012,0.5587877035140991,4,other
0.8895618319511414,0.0023779708426445723,0.09653523564338684,0.011524993926286697,1,positive
0.9334458112716675,0.001864663907326758,0.053341932594776154,0.011347533203661442,1,positive
0.9470192790031433,0.0018087343778461218,0.040195442736148834,0.010976514779031277,1,positive
0.9325544238090515,0.0017385660903528333,0.05566756799817085,0.010039414279162884,1,positive
0.9383288025856018,0.0016679482068866491,0.04603978246450424,0.013963461853563786,1,positive
0.8780142664909363,0.006428340915590525,0.03754659742116928,0.07801076769828796,1,positive
0.9429758787155151,0.00189767696429044,0.04098551347851753,0.014140928164124489,1,positive
0.850534200668335,0.006198129616677761,0.10332977771759033,0.039937879890203476,1,positive
0.25369977951049805,0.11534236371517181,0.30773821473121643,0.3232196569442749,4,other
0.8657267093658447,0.005093350540846586,0.09916363656520844,0.03001624159514904,1,positive
0.9218974113464355,0.0025463616475462914,0.0586969330906868,0.016859371215105057,1,positive
0.9559622406959534,0.0019378922879695892,0.025662198662757874,0.01643759198486805,1,positive
0.9253131747245789,0.002034386619925499,0.06215113773941994,0.010501313023269176,1,positive
0.8611637353897095,0.010517191141843796,0.057856541126966476,0.07046245783567429,1,positive
0.9036189913749695,0.0026332195848226547,0.07744267582893372,0.016305087134242058,1,positive
0.9286785125732422,0.0017558723920956254,0.05934876948595047,0.010216866619884968,1,positive
0.6952309012413025,0.017466029152274132,0.04930665343999863,0.23799636960029602,1,positive
0.9526534676551819,0.0014733209973201156,0.035327572375535965,0.010545626282691956,1,positive
0.004149849992245436,0.7876548767089844,0.027570299804210663,0.18062496185302734,2,negative
0.8241146802902222,0.0037019820883870125,0.15640698373317719,0.01577640324831009,1,positive
0.06274913251399994,0.16757579147815704,0.038020454347133636,0.7316546440124512,4,other
0.24752366542816162,0.10618110001087189,0.10191832482814789,0.5443769097328186,4,other
0.06408814340829849,0.15091514587402344,0.04775145649909973,0.7372452616691589,4,other
0.575354278087616,0.03534652665257454,0.07203546166419983,0.317263662815094,1,positive
0.10497710853815079,0.13645866513252258,0.11292818188667297,0.6456360816955566,4,other
0.9574398398399353,0.0014713793061673641,0.030754422768950462,0.010334369726479053,1,positive
0.9345341920852661,0.002452269895002246,0.04278254508972168,0.02023090049624443,1,positive
0.3256746530532837,0.07734056562185287,0.23246587812900543,0.3645188808441162,4,other
0.27747535705566406,0.06777090579271317,0.0479484423995018,0.6068052649497986,4,other
0.8929249048233032,0.002288712188601494,0.09282545745372772,0.011960888281464577,1,positive
0.8102005124092102,0.0034804472234100103,0.172790065407753,0.013528959825634956,1,positive
0.9312266707420349,0.002648897934705019,0.04576799273490906,0.02035638689994812,1,positive
0.372901052236557,0.007169751450419426,0.6031505465507507,0.016778668388724327,3,neutral
0.9331802129745483,0.00201621325686574,0.05333226919174194,0.011471335776150227,1,positive
0.9508930444717407,0.0022496378514915705,0.023880677297711372,0.022976666688919067,1,positive
0.28585872054100037,0.07215402275323868,0.052186813205480576,0.5898004770278931,4,other
0.7905723452568054,0.010826151818037033,0.04757266864180565,0.15102891623973846,1,positive
0.8935607671737671,0.002403079532086849,0.0891265869140625,0.014909610152244568,1,positive
0.19265004992485046,0.1109401285648346,0.03221108391880989,0.6641987562179565,4,other
0.9312589168548584,0.0017331417184323072,0.05876358598470688,0.008244399912655354,1,positive
0.5712459087371826,0.026476064696907997,0.1993616372346878,0.20291639864444733,1,positive
0.8795970678329468,0.00391092523932457,0.08841992169618607,0.028072088956832886,1,positive
0.4486957788467407,0.01157604344189167,0.5030769109725952,0.036651283502578735,3,neutral
0.9517190456390381,0.0014298566384240985,0.03857164829969406,0.008279409259557724,1,positive
0.8615379333496094,0.00762952771037817,0.022168723866343498,0.10866380482912064,1,positive
0.9137847423553467,0.0028559151105582714,0.05404627323150635,0.029313083738088608,1,positive
0.841947615146637,0.003878636285662651,0.13085982203483582,0.02331387810409069,1,positive
