positive,negative,neutral,other,class,class_name
0.9529017210006714,0.0011566090397536755,0.03937071934342384,0.006571006495505571,1,positive
0.08194635808467865,0.01957935094833374,0.8800198435783386,0.018454372882843018,3,neutral
0.07706113904714584,0.290473610162735,0.3926081657409668,0.23985712230205536,3,neutral
0.5356357097625732,0.01027039997279644,0.41789379715919495,0.036200132220983505,1,positive
0.014969844371080399,0.4927305281162262,0.10638348758220673,0.3859161138534546,2,negative
0.8637701869010925,0.0030508546624332666,0.11905534565448761,0.014123640954494476,1,positive
0.3057902455329895,0.012155108153820038,0.6566421389579773,0.02541247382760048,3,neutral
0.4664084017276764,0.031032457947731018,0.01682400517165661,0.4857352077960968,4,other
0.4728856682777405,0.033009570091962814,0.07889987528324127,0.4152049124240875,1,positive
0.8900107145309448,0.002292278688400984,0.0977042093873024,0.00999278761446476,1,positive
0.09874187409877777,0.31655481457710266,0.057519711554050446,0.5271835923194885,4,other
0.04688706248998642,0.03402318060398102,0.901758074760437,0.017331695184111595,3,neutral
0.05278083309531212,0.17735782265663147,0.6338207721710205,0.13604052364826202,3,neutral
0.0070218900218605995,0.6810764670372009,0.034601666033267975,0.27730002999305725,2,negative
0.00633821589872241,0.6841015219688416,0.07470352202653885,0.23485666513442993,2,negative
0.1409941166639328,0.05565972253680229,0.7039849162101746,0.09936126321554184,3,neutral
0.095735102891922,0.24384647607803345,0.19779258966445923,0.46262577176094055,4,other
0.223824143409729,0.021583890542387962,0.7043443322181702,0.050247613340616226,3,neutral
0.9326015114784241,0.0016496076714247465,0.058553241193294525,0.007195652462542057,1,positive
0.06040547788143158,0.18963466584682465,0.514684796333313,0.2352750450372696,3,neutral
0.14251378178596497,0.17517684400081635,0.2576555013656616,0.4246537983417511,4,other
0.6112629771232605,0.011283989064395428,0.33888962864875793,0.03856336325407028,1,positive
0.44589754939079285,0.005353683605790138,0.5382329225540161,0.01051583606749773,3,neutral
0.21260406076908112,0.0064429366029798985,0.7721297144889832,0.00882323831319809,3,neutral
0.0071979695931077,0.6383649706840515,0.04957740008831024,0.30485963821411133,2,negative
0.022324925288558006,0.04828431084752083,0.8973004817962646,0.032090384513139725,3,neutral
0.0249546580016613,0.022942939773201942,0.9357106685638428,0.016391729936003685,3,neutral
0.021554991602897644,0.4778885543346405,0.08783736824989319,0.41271910071372986,2,negative
0.5166869759559631,0.005560820922255516,0.4624539017677307,0.01529828179627657,1,positive
0.42769521474838257,0.029982242733240128,0.43020814657211304,0.11211445927619934,3,neutral
0.10737449675798416,0.01159205287694931,0.8697071671485901,0.011326321400702,3,neutral
0.2190231829881668,0.009030194953083992,0.7603759169578552,0.011570692993700504,3,neutral
0.7247817516326904,0.0066341678611934185,0.24738465249538422,0.021199433133006096,1,positive
0.12336770445108414,0.07157165557146072,0.6481397747993469,0.15692082047462463,3,neutral
0.14568503201007843,0.21123680472373962,0.1209351122379303,0.5221430659294128,4,other
0.08714412897825241,0.032214999198913574,0.8288294076919556,0.05181153118610382,3,neutral
0.11998923122882843,0.187063530087471,0.28649988770484924,0.40644732117652893,4,other
0.7734596133232117,0.003665982512757182,0.21232926845550537,0.010545124299824238,1,positive
0.3794212341308594,0.04991472512483597,0.06186649948358536,0.5087975859642029,4,other
0.17470474541187286,0.03351373225450516,0.695280134677887,0.09650138020515442,3,neutral
0.26498422026634216,0.08165749907493591,0.11660097539424896,0.5367572903633118,4,other
0.008474379777908325,0.7413727045059204,0.05001610890030861,0.20013675093650818,2,negative
0.28260794281959534,0.012426403351128101,0.6864213943481445,0.018544316291809082,3,neutral
0.030184486880898476,0.4787869155406952,0.032740917056798935,0.45828768610954285,2,negative
0.4396674335002899,0.03796449676156044,0.025700438767671585,0.49666768312454224,4,other
0.8564807772636414,0.0025089995469897985,0.1307566612958908,0.01025353278964758,1,positive
0.3017929792404175,0.00684902211651206,0.6803696155548096,0.010988343507051468,3,neutral
0.017892787232995033,0.01340551394969225,0.9603898525238037,0.00831177830696106,3,neutral
0.5819998979568481,0.013120260089635849,0.35621774196624756,0.04866211116313934,1,positive
0.12544161081314087,0.015772363170981407,0.8383200168609619,0.020466133952140808,3,neutral
0.12448760867118835,0.028513850644230843,0.7935324311256409,0.05346621200442314,3,neutral
0.021678760647773743,0.616793155670166,0.10944066941738129,0.25208741426467896,2,negative
0.001762237399816513,0.8994548916816711,0.019522976130247116,0.07925982028245926,2,negative
0.031281277537345886,0.013686202466487885,0.947010338306427,0.008022242225706577,3,neutral
0.03151852265000343,0.37635478377342224,0.16443854570388794,0.4276881217956543,4,other
0.0370938740670681,0.38750967383384705,0.0469069704413414,0.5284894704818726,4,other
0.7276766300201416,0.010663814842700958,0.2121332585811615,0.049526289105415344,1,positive
0.9738174080848694,0.0009789315517991781,0.01964394748210907,0.005559724755585194,1,positive
0.09877875447273254,0.15802958607673645,0.3191322684288025,0.4240594208240509,4,other
0.9601120948791504,0.0013794978149235249,0.024753695353865623,0.013754688203334808,1,positive
0.45288437604904175,0.035422876477241516,0.27152010798454285,0.2401726394891739,1,positive
0.032862357795238495,0.2079584002494812,0.54228675365448,0.2168925404548645,3,neutral
0.009128567762672901,0.6259641647338867,0.03798520565032959,0.32692208886146545,2,negative
0.692051112651825,0.022608468309044838,0.08892054110765457,0.19641993939876556,1,positive
0.27869027853012085,0.03682205080986023,0.6298786401748657,0.054609037935733795,3,neutral
0.0009565568179823458,0.9268858432769775,0.010510166175663471,0.061647459864616394,2,negative
0.020626559853553772,0.38440045714378357,0.023851964622735977,0.5711209774017334,4,other
0.49818798899650574,0.006271081976592541,0.47840142250061035,0.01713949255645275,1,positive
0.9729332327842712,0.0009897698182612658,0.017841456457972527,0.00823556911200285,1,positive
0.1330232471227646,0.1650228053331375,0.1741284430027008,0.5278255343437195,4,other
0.8968724012374878,0.005059368442744017,0.03200514614582062,0.06606309115886688,1,positive
0.0071588619612157345,0.15325279533863068,0.8033802509307861,0.036208074539899826,3,neutral
0.09686105698347092,0.18947665393352509,0.1744120568037033,0.5392502546310425,4,other
0.0013897604076191783,0.916576087474823,0.007667107507586479,0.07436712831258774,2,negative
0.3322599232196808,0.00911726150661707,0.638424277305603,0.02019846811890602,3,neutral
0.005721801891922951,0.7729875445365906,0.06445766240358353,0.15683290362358093,2,negative
0.24474014341831207,0.01199229247868061,0.7210794687271118,0.022188087925314903,3,neutral
0.1675366312265396,0.07399033010005951,0.03195700794458389,0.7265160083770752,4,other
0.007910916581749916,0.732458770275116,0.04946115240454674,0.21016915142536163,2,negative
0.10276324301958084,0.1286182552576065,0.3451153635978699,0.42350322008132935,4,other
