positive,negative,neutral,other,class,class_name
0.056785278022289276,0.214269757270813,0.06689924746751785,0.6620457172393799,4,other
0.027036286890506744,0.3078680634498596,0.024318493902683258,0.6407771706581116,4,other
0.8391342163085938,0.003000540193170309,0.14381611347198486,0.014049126766622066,1,positive
0.9128684401512146,0.002468062099069357,0.06624563783407211,0.018417833372950554,1,positive
0.9746110439300537,0.0009388111066073179,0.018367743119597435,0.006082376465201378,1,positive
0.10564692318439484,0.14678308367729187,0.04027750715613365,0.7072924971580505,4,other
0.04171041399240494,0.2502455711364746,0.044168390333652496,0.6638755798339844,4,other
0.9742974042892456,0.0009260750375688076,0.019011665135622025,0.005764824338257313,1,positive
0.9562540650367737,0.0013971752487123013,0.034107986837625504,0.008240776136517525,1,positive
0.9414166808128357,0.0025616895873099566,0.02709161676466465,0.02893003448843956,1,positive
0.05870829150080681,0.02660776674747467,0.8766860365867615,0.03799786791205406,3,neutral
0.011999142356216908,0.6922327280044556,0.024073585867881775,0.27169448137283325,2,negative
0.07574888318777084,0.14940102398395538,0.021555904299020767,0.7532941699028015,4,other
0.09931041300296783,0.09430494159460068,0.017320983111858368,0.7890636324882507,4,other
0.014698650687932968,0.5728211998939514,0.017953667789697647,0.39452648162841797,2,negative
0.197574183344841,0.08218886703252792,0.08203768730163574,0.6381992101669312,4,other
0.1505049616098404,0.026752419769763947,0.7705953121185303,0.05214729905128479,3,neutral
0.9590028524398804,0.001228831708431244,0.03322990983724594,0.00653841532766819,1,positive
0.9433665871620178,0.0015461990842595696,0.04761740565299988,0.007469802629202604,1,positive
0.8924424052238464,0.0027031523641198874,0.08746586740016937,0.01738859713077545,1,positive
0.45968928933143616,0.01490863785147667,0.47061383724212646,0.0547882542014122,3,neutral
0.05117203667759895,0.31372836232185364,0.039550963789224625,0.595548689365387,4,other
0.7092583179473877,0.004476022440940142,0.2697536051273346,0.016512032598257065,1,positive
0.7054823637008667,0.006389090325683355,0.25913184881210327,0.02899666503071785,1,positive
0.9034014344215393,0.0021111860405653715,0.0828147605061531,0.011672661639750004,1,positive
0.9129564166069031,0.0018519978038966656,0.07508601993322372,0.010105593129992485,1,positive
0.9536440968513489,0.0013311016373336315,0.03364395350217819,0.011380787938833237,1,positive
0.9691054821014404,0.0011618799762800336,0.020129602402448654,0.009603000245988369,1,positive
0.7357633709907532,0.015138527378439903,0.03365302085876465,0.21544504165649414,1,positive
0.16618125140666962,0.1218399927020073,0.12185049802064896,0.5901282429695129,4,other
0.7581507563591003,0.01195956114679575,0.10903648287057877,0.12085315585136414,1,positive
0.04783785343170166,0.2258712649345398,0.09227596968412399,0.634014904499054,4,other
0.42474237084388733,0.01578448712825775,0.5159461498260498,0.04352699965238571,3,neutral
0.9283552765846252,0.0026689856313169003,0.04890304058790207,0.020072735846042633,1,positive
0.8043742179870605,0.011930720880627632,0.05716891959309578,0.1265261173248291,1,positive
0.23817506432533264,0.05892634764313698,0.49275511503219604,0.21014338731765747,3,neutral
0.8613535761833191,0.0068773431703448296,0.06849303096532822,0.0632760226726532,1,positive
0.8255975842475891,0.003043393837288022,0.16015809774398804,0.011201002635061741,1,positive
0.9026029706001282,0.002437710063531995,0.07716022431850433,0.01779908873140812,1,positive
0.3493971526622772,0.04916851222515106,0.0514194518327713,0.550014853477478,4,other
0.33558332920074463,0.05961969494819641,0.12169754505157471,0.48309943079948425,4,other
0.29678550362586975,0.045014407485723495,0.5505159497261047,0.10768408328294754,3,neutral
0.8745446801185608,0.0074885995127260685,0.051476720720529556,0.06648997217416763,1,positive
0.7884442806243896,0.00403392082080245,0.19060391187667847,0.01691785827279091,1,positive
0.954836368560791,0.0013662372948601842,0.03556109592318535,0.008236275985836983,1,positive
0.1434633731842041,0.1368117779493332,0.01859213411808014,0.7011327147483826,4,other
0.7282660007476807,0.014340096153318882,0.06296519190073013,0.19442866742610931,1,positive
0.637307345867157,0.023215556517243385,0.05511656776070595,0.28436052799224854,1,positive
0.9075055122375488,0.004856514744460583,0.028654832392930984,0.058983199298381805,1,positive
0.27957090735435486,0.05972160026431084,0.032745230942964554,0.6279622316360474,4,other
0.8263852000236511,0.007496181409806013,0.10981382429599762,0.05630474537611008,1,positive
0.15546192228794098,0.15515285730361938,0.3862287700176239,0.30315646529197693,3,neutral
0.24592730402946472,0.12508100271224976,0.21639689803123474,0.4125947654247284,4,other
0.35270318388938904,0.0728468969464302,0.04721786454319954,0.5272320508956909,4,other
0.006130149122327566,0.7602376937866211,0.02702193520963192,0.20661023259162903,2,negative
0.09764158725738525,0.135909765958786,0.4291399121284485,0.33730873465538025,3,neutral
0.95546555519104,0.0014061942929401994,0.035476528108119965,0.00765174301341176,1,positive
0.8999523520469666,0.002201162511482835,0.0848701074719429,0.012976397760212421,1,positive
0.8331121802330017,0.009406112134456635,0.025449808686971664,0.1320319026708603,1,positive
0.05647776275873184,0.21896515786647797,0.03851836174726486,0.6860386729240417,4,other
0.9648346304893494,0.0011170912766829133,0.02533215843141079,0.008716166950762272,1,positive
0.3819122314453125,0.05678316950798035,0.06557522714138031,0.49572938680648804,4,other
0.8593795299530029,0.0036324202083051205,0.119449682533741,0.01753835566341877,1,positive
0.0943901464343071,0.12017568200826645,0.5311554074287415,0.2542787790298462,3,neutral
0.8634106516838074,0.0032100940588861704,0.1139010414481163,0.01947825774550438,1,positive
0.6026769876480103,0.009001883678138256,0.34394609928131104,0.0443749837577343,1,positive
0.2990354299545288,0.10636696964502335,0.12796293199062347,0.4666346609592438,4,other
0.23699913918972015,0.07235987484455109,0.22742997109889984,0.46321097016334534,4,other
0.880827009677887,0.005328611936420202,0.04025661200284958,0.07358776032924652,1,positive
0.7109121084213257,0.01528297457844019,0.12336234003305435,0.15044258534908295,1,positive
0.9645848870277405,0.0012021824950352311,0.023324158042669296,0.010888790711760521,1,positive
0.1708596646785736,0.11226333677768707,0.0865786075592041,0.630298376083374,4,other
0.04098204895853996,0.26053348183631897,0.032244082540273666,0.6662404537200928,4,other
0.8031483888626099,0.012653766199946404,0.03649982437491417,0.1476980298757553,1,positive
0.8577711582183838,0.00410433067008853,0.11382284015417099,0.024301664903759956,1,positive
0.32228681445121765,0.08697552978992462,0.2005157172679901,0.39022189378738403,4,other
0.7988837957382202,0.008808945305645466,0.14840467274188995,0.04390254244208336,1,positive
0.22534780204296112,0.08861873298883438,0.24741603434085846,0.438617467880249,4,other
0.38065457344055176,0.0539093017578125,0.06095917895436287,0.5044769644737244,4,other
0.799802839756012,0.006351687479764223,0.15419714152812958,0.03964827582240105,1,positive
